dep_hour,carrier,carrier_name,carrier_type,root_delays,avg_downstream_legs,avg_downstream_minutes,avg_amplification,total_cascade_minutes,total_cascade_cost_usd
23,WN,Southwest Airlines,Low-cost,738,0.008,0.16,1.003,27410,2697418
23,YV,Mesa Airlines,Regional,4,0.0,0.0,1.0,749,73709
23,YX,Republic Airways,Regional,59,0.085,7.31,1.017,4913,483488
24,AA,American Airlines,Network,1551,0.24,14.01,1.246,158604,15608220
24,AS,Alaska Airlines,Network,834,0.376,16.56,1.336,47983,4722007
24,B6,JetBlue Airways,Low-cost,1163,0.207,12.92,1.231,100081,9848971
24,DL,Delta Air Lines,Network,1378,0.245,13.29,1.181,119609,11770722
24,F9,Frontier Airlines,Ultra low-cost,684,0.265,20.46,1.288,60781,5981458
24,HA,Hawaiian Airlines,Network,42,0.143,9.1,1.038,2669,262656
24,MQ,Envoy Air,Regional,8,0.375,84.13,1.249,2361,232346
24,NK,Spirit Airlines,Ultra low-cost,782,0.423,26.73,1.425,74389,7320621
24,OH,PSA Airlines,Regional,5,0.4,126.8,1.304,1563,153815
24,OO,SkyWest Airlines,Regional,93,0.075,4.86,1.049,7787,766319
24,QX,Horizon Air,Regional,7,0.143,3.0,1.07,472,46450
24,UA,United Airlines,Network,2273,0.242,11.68,1.227,143597,14131381
24,WN,Southwest Airlines,Low-cost,18,0.0,0.0,1.0,440,43300
24,YV,Mesa Airlines,Regional,7,0.0,0.0,1.0,1447,142399
24,YX,Republic Airways,Regional,2,0.0,0.0,1.0,43,4232
