dep_hour,carrier,carrier_name,carrier_type,root_delays,avg_downstream_legs,avg_downstream_minutes,avg_amplification,total_cascade_minutes,total_cascade_cost_usd
7,HA,Hawaiian Airlines,Network,2925,0.434,17.96,1.443,253527,24949592
7,MQ,Envoy Air,Regional,9387,0.629,28.75,1.701,841818,82843309
7,NK,Spirit Airlines,Ultra low-cost,8538,0.662,39.3,1.727,833410,82015878
7,OH,PSA Airlines,Regional,7178,0.757,45.37,2.187,857615,84397892
7,OO,SkyWest Airlines,Regional,28752,0.282,18.56,1.32,2959733,291267325
7,QX,Horizon Air,Regional,1379,0.674,31.86,1.692,116512,11465946
7,UA,United Airlines,Network,28114,0.606,33.77,1.893,2567889,252705956
7,WN,Southwest Airlines,Low-cost,25357,1.262,59.01,2.494,2736532,269302114
7,YV,Mesa Airlines,Regional,2244,0.559,40.07,1.832,278802,27436905
7,YX,Republic Airways,Regional,8763,0.565,30.69,1.861,765531,75335906
8,9E,Endeavor Air,Regional,3812,0.757,43.75,2.009,394184,38791647
8,AA,American Airlines,Network,43787,0.783,42.42,2.636,4771347,469548258
8,AS,Alaska Airlines,Network,13572,0.625,29.59,1.731,1057543,104072807
8,B6,JetBlue Airways,Low-cost,11107,0.982,56.25,2.231,1269801,124961116
8,DL,Delta Air Lines,Network,32618,0.719,37.91,1.628,3324388,327153023
8,F9,Frontier Airlines,Ultra low-cost,6277,1.126,68.61,2.741,777209,76485138
8,HA,Hawaiian Airlines,Network,3393,0.444,22.19,1.44,295008,29031737
8,MQ,Envoy Air,Regional,10700,0.888,40.23,2.294,953778,93861293
8,NK,Spirit Airlines,Ultra low-cost,7908,0.603,35.65,1.836,726826,71526947
8,OH,PSA Airlines,Regional,5680,0.977,60.67,3.707,685682,67477966
8,OO,SkyWest Airlines,Regional,34147,0.313,19.96,1.449,3104699,305533429
8,QX,Horizon Air,Regional,1270,0.62,29.7,1.697,105266,10359227
8,UA,United Airlines,Network,29273,0.584,31.11,1.95,2491074,245146592
8,WN,Southwest Airlines,Low-cost,34611,1.271,56.74,2.777,3433106,337851961
8,YV,Mesa Airlines,Regional,2553,0.772,50.25,2.641,299661,29489639
8,YX,Republic Airways,Regional,10150,0.601,29.86,1.877,803265,79049309
9,9E,Endeavor Air,Regional,3065,0.728,41.37,2.498,298135,29339465
9,AA,American Airlines,Network,27933,0.698,37.17,2.592,2735128,269163946
9,AS,Alaska Airlines,Network,9524,0.607,29.61,1.629,759819,74773788
9,B6,JetBlue Airways,Low-cost,9342,0.96,55.35,2.27,1075432,105833263
9,DL,Delta Air Lines,Network,19214,0.722,35.88,1.71,1829246,180016099
9,F9,Frontier Airlines,Ultra low-cost,5583,1.099,66.63,3.089,675695,66495145
9,HA,Hawaiian Airlines,Network,2829,0.512,24.15,1.712,230222,22656147
9,MQ,Envoy Air,Regional,4514,0.775,36.41,2.346,377828,37182053
9,NK,Spirit Airlines,Ultra low-cost,7265,0.561,33.66,1.8,641040,63084746
9,OH,PSA Airlines,Regional,6281,0.87,45.66,3.048,573215,56410088
9,OO,SkyWest Airlines,Regional,27828,0.259,16.5,1.349,2352683,231527534
9,QX,Horizon Air,Regional,1112,0.618,30.9,1.641,90402,8896461
9,UA,United Airlines,Network,26738,0.622,32.37,2.168,2195743,216083069
9,WN,Southwest Airlines,Low-cost,25524,1.327,58.9,3.085,2578037,253704621
9,YV,Mesa Airlines,Regional,1637,0.425,27.82,1.748,155505,15303247
9,YX,Republic Airways,Regional,7356,0.593,30.86,2.099,580050,57082721
10,9E,Endeavor Air,Regional,4644,0.66,36.12,2.305,432543,42566557
10,AA,American Airlines,Network,30202,0.765,42.8,3.365,2932601,288597264
10,AS,Alaska Airlines,Network,10996,0.61,31.29,1.781,877362,86341194
10,B6,JetBlue Airways,Low-cost,11357,0.858,50.04,2.388,1240105,122038733
10,DL,Delta Air Lines,Network,25655,0.715,37.5,1.82,2521390,248129990
10,F9,Frontier Airlines,Ultra low-cost,5204,0.964,56.49,2.698,568890,55984465
10,HA,Hawaiian Airlines,Network,3524,0.53,21.52,1.637,276904,27250123
10,MQ,Envoy Air,Regional,8368,0.808,38.9,2.727,711878,70055914
10,NK,Spirit Airlines,Ultra low-cost,8190,0.447,25.96,1.695,664374,65381045
10,OH,PSA Airlines,Regional,4854,0.932,57.48,3.865,540242,53165215
10,OO,SkyWest Airlines,Regional,35047,0.204,13.05,1.275,2973142,292586904
10,QX,Horizon Air,Regional,1312,0.591,27.02,1.806,88383,8697771
10,UA,United Airlines,Network,25061,0.61,31.89,2.276,2031095,199880059
10,WN,Southwest Airlines,Low-cost,31778,1.261,57.18,3.287,3154810,310464852
10,YV,Mesa Airlines,Regional,3100,0.584,41.98,2.415,315117,31010664
10,YX,Republic Airways,Regional,8237,0.579,28.18,2.079,625821,61587045
11,9E,Endeavor Air,Regional,3101,0.691,37.44,2.12,298911,29415832
11,AA,American Airlines,Network,28032,0.743,39.89,3.399,2646628,260454661
11,AS,Alaska Airlines,Network,8637,0.629,29.54,1.85,651648,64128680
11,B6,JetBlue Airways,Low-cost,10451,0.772,45.62,2.247,1096359,107892689
11,DL,Delta Air Lines,Network,27951,0.709,37.24,1.765,2800792,275625941
11,F9,Frontier Airlines,Ultra low-cost,5916,0.941,56.05,3.079,653516,64312510
11,HA,Hawaiian Airlines,Network,2213,0.814,30.86,2.634,160468,15791656
11,MQ,Envoy Air,Regional,4353,0.773,36.7,2.887,356287,35062204
11,NK,Spirit Airlines,Ultra low-cost,7938,0.433,25.6,1.667,667742,65712490
11,OH,PSA Airlines,Regional,6422,0.892,49.74,3.733,639897,62972264
11,OO,SkyWest Airlines,Regional,30312,0.21,13.59,1.353,2559926,251922318
11,QX,Horizon Air,Regional,1064,0.648,31.26,2.277,79904,7863353
11,UA,United Airlines,Network,23124,0.637,33.95,2.577,1889270,185923061
11,WN,Southwest Airlines,Low-cost,28366,1.266,59.28,3.317,2918091,287169335
11,YV,Mesa Airlines,Regional,1235,0.435,27.72,2.195,109597,10785441
11,YX,Republic Airways,Regional,8102,0.557,28.43,2.039,649690,63935993
12,9E,Endeavor Air,Regional,4944,0.668,36.47,2.275,472215,46470678
12,AA,American Airlines,Network,28563,0.664,36.85,3.062,2711975,266885460
12,AS,Alaska Airlines,Network,6344,0.483,22.58,1.712,426948,42015953
12,B6,JetBlue Airways,Low-cost,10417,0.728,42.87,2.051,1094806,107739858
12,DL,Delta Air Lines,Network,24785,0.606,30.68,1.79,2362522,232495790
12,F9,Frontier Airlines,Ultra low-cost,5348,0.948,59.51,3.336,616362,60656184
12,HA,Hawaiian Airlines,Network,3387,0.664,22.41,2.088,198720,19556035
12,MQ,Envoy Air,Regional,7404,0.8,37.41,2.999,622054,61216334
12,NK,Spirit Airlines,Ultra low-cost,8792,0.398,24.49,1.58,755301,74329171
12,OH,PSA Airlines,Regional,4654,0.847,52.15,4.369,499743,49179709
12,OO,SkyWest Airlines,Regional,30334,0.17,11.18,1.338,2688234,264549108
12,QX,Horizon Air,Regional,1078,0.599,26.31,1.883,72803,7164543
12,UA,United Airlines,Network,22581,0.542,31.3,2.288,1927542,189689408
12,WN,Southwest Airlines,Low-cost,33235,1.161,54.16,3.316,3202571,315165012
12,YV,Mesa Airlines,Regional,3407,0.463,32.19,2.083,337552,33218492
12,YX,Republic Airways,Regional,10133,0.591,29.7,2.14,830124,81692503
13,9E,Endeavor Air,Regional,3868,0.58,31.38,2.056,356419,35075194
13,AA,American Airlines,Network,32193,0.658,37.3,3.315,2931637,288502397
13,AS,Alaska Airlines,Network,6430,0.459,21.15,1.8,432575,42569706
13,B6,JetBlue Airways,Low-cost,11142,0.698,42.47,2.035,1171294,115267043
13,DL,Delta Air Lines,Network,21539,0.552,28.64,1.601,2097800,206444498
13,F9,Frontier Airlines,Ultra low-cost,5655,0.885,53.76,3.197,628357,61836612
13,HA,Hawaiian Airlines,Network,4284,0.597,19.06,1.876,236651,23288825
13,MQ,Envoy Air,Regional,6479,0.771,37.13,2.92,523295,51497461
13,NK,Spirit Airlines,Ultra low-cost,9129,0.401,24.25,1.667,774849,76252890
13,OH,PSA Airlines,Regional,6643,0.88,51.86,3.924,675551,66480974
13,OO,SkyWest Airlines,Regional,32261,0.194,13.03,1.368,2853222,280785577
13,QX,Horizon Air,Regional,1021,0.591,27.98,2.3,71855,7071251
13,UA,United Airlines,Network,24224,0.486,27.48,2.274,1945463,191453014
13,WN,Southwest Airlines,Low-cost,34342,1.113,52.4,3.256,3240669,318914236
13,YV,Mesa Airlines,Regional,1567,0.466,31.16,2.539,153253,15081628
13,YX,Republic Airways,Regional,9418,0.55,28.16,1.945,767425,75522294
14,9E,Endeavor Air,Regional,4367,0.53,29.0,1.99,413884,40730324
14,AA,American Airlines,Network,31265,0.603,35.12,3.103,2857773,281233441
14,AS,Alaska Airlines,Network,6966,0.32,14.98,1.508,426191,41941456
14,B6,JetBlue Airways,Low-cost,12577,0.601,37.04,1.915,1262574,124249907
14,DL,Delta Air Lines,Network,24846,0.54,29.07,1.646,2478485,243907709
14,F9,Frontier Airlines,Ultra low-cost,6559,0.8,49.88,2.669,703614,69242654
14,HA,Hawaiian Airlines,Network,3574,0.597,21.27,2.206,218353,21488119
14,MQ,Envoy Air,Regional,7989,0.724,34.46,2.528,652218,64184773
14,NK,Spirit Airlines,Ultra low-cost,11480,0.36,22.08,1.651,971211,95576875
14,OH,PSA Airlines,Regional,7640,0.759,43.59,3.403,741969,73017169
14,OO,SkyWest Airlines,Regional,33880,0.198,13.03,1.345,3060757,301209096
14,QX,Horizon Air,Regional,974,0.554,28.87,2.001,73202,7203809
14,UA,United Airlines,Network,29201,0.479,27.95,2.041,2430919,239226739
14,WN,Southwest Airlines,Low-cost,38802,0.962,46.65,3.209,3474968,341971601
14,YV,Mesa Airlines,Regional,2717,0.437,29.76,2.354,272491,26815839
14,YX,Republic Airways,Regional,12522,0.508,26.71,1.852,1059044,104220520
15,9E,Endeavor Air,Regional,4939,0.508,28.46,1.716,446703,43960042
15,AA,American Airlines,Network,34072,0.484,27.69,2.569,2771358,272729341
15,AS,Alaska Airlines,Network,6099,0.413,18.44,1.686,376563,37057565
15,B6,JetBlue Airways,Low-cost,11418,0.599,37.85,1.88,1154526,113616904
15,DL,Delta Air Lines,Network,33104,0.52,28.19,1.548,3213916,316281474
15,F9,Frontier Airlines,Ultra low-cost,7130,0.754,45.23,2.498,746392,73452437
15,HA,Hawaiian Airlines,Network,2320,0.56,24.75,2.809,156120,15363769
15,MQ,Envoy Air,Regional,7291,0.623,29.67,2.337,540108,53152028
15,NK,Spirit Airlines,Ultra low-cost,11962,0.338,20.3,1.531,1019785,100357042
15,OH,PSA Airlines,Regional,7643,0.627,37.88,3.017,692953,68193505
15,OO,SkyWest Airlines,Regional,32961,0.155,10.59,1.278,2899031,285293641
15,QX,Horizon Air,Regional,1092,0.527,25.88,2.29,75227,7403089
15,UA,United Airlines,Network,19408,0.403,23.25,1.765,1619543,159379227
15,WN,Southwest Airlines,Low-cost,35306,0.884,43.86,3.065,3074066,302518835
15,YV,Mesa Airlines,Regional,1778,0.295,21.54,2.077,162186,15960724
15,YX,Republic Airways,Regional,11876,0.474,25.45,1.801,1009212,99316553
16,9E,Endeavor Air,Regional,5427,0.429,25.9,1.612,496700,48880247
16,AA,American Airlines,Network,35036,0.419,24.24,2.359,2711754,266863711
16,AS,Alaska Airlines,Network,7213,0.295,14.03,1.558,435883,42895246
16,B6,JetBlue Airways,Low-cost,13335,0.542,34.28,1.824,1334331,131311514
16,DL,Delta Air Lines,Network,28160,0.413,21.97,1.423,2553046,251245257
16,F9,Frontier Airlines,Ultra low-cost,7864,0.642,41.11,2.483,795198,78255435
16,HA,Hawaiian Airlines,Network,1682,0.673,27.38,2.774,114345,11252691
16,MQ,Envoy Air,Regional,9752,0.552,25.59,2.21,671898,66121482
16,NK,Spirit Airlines,Ultra low-cost,14023,0.283,17.12,1.45,1152008,113369107
16,OH,PSA Airlines,Regional,8799,0.64,37.15,2.948,766932,75473778
16,OO,SkyWest Airlines,Regional,37030,0.13,8.66,1.232,3143954,309396513
16,QX,Horizon Air,Regional,1259,0.45,20.41,1.916,77320,7609061
16,UA,United Airlines,Network,34972,0.311,17.17,1.632,2469677,243040914
16,WN,Southwest Airlines,Low-cost,41404,0.703,34.76,2.809,3215424,316429876
16,YV,Mesa Airlines,Regional,3236,0.265,17.85,1.807,286208,28165729
16,YX,Republic Airways,Regional,11197,0.402,22.52,1.611,920650,90601167
17,9E,Endeavor Air,Regional,5725,0.344,19.56,1.434,511445,50331302
